Tanggal,Provinsi,Komoditas (Rp),Harga
14/03/2023,Nusa Tenggara Timur,Bawang Putih Bonggol,35080.0
14/03/2023,Nusa Tenggara Timur,Cabai Rawit Merah,75380.0
14/03/2023,Kalimantan Barat,Beras Premium,14620.0
14/03/2023,Kalimantan Barat,Beras Medium,12620.0
14/03/2023,Kalimantan Barat,Bawang Merah,37900.0
14/03/2023,Kalimantan Barat,Bawang Putih Bonggol,29110.0
14/03/2023,Kalimantan Barat,Cabai Rawit Merah,88030.0
14/03/2023,Kalimantan Tengah,Beras Premium,15520.0
14/03/2023,Kalimantan Tengah,Beras Medium,12620.0
14/03/2023,Kalimantan Tengah,Bawang Merah,38830.0
14/03/2023,Kalimantan Tengah,Bawang Putih Bonggol,33810.0
14/03/2023,Kalimantan Tengah,Cabai Rawit Merah,81880.0
14/03/2023,Kalimantan Selatan,Beras Premium,17300.0
14/03/2023,Kalimantan Selatan,Beras Medium,12900.0
14/03/2023,Kalimantan Selatan,Bawang Merah,33050.0
14/03/2023,Kalimantan Selatan,Bawang Putih Bonggol,31530.0
14/03/2023,Kalimantan Selatan,Cabai Rawit Merah,70490.0
14/03/2023,Kalimantan Timur,Beras Premium,15140.0
14/03/2023,Kalimantan Timur,Beras Medium,13290.0
14/03/2023,Kalimantan Timur,Bawang Merah,37510.0
14/03/2023,Kalimantan Timur,Bawang Putih Bonggol,33340.0
14/03/2023,Kalimantan Timur,Cabai Rawit Merah,78640.0
14/03/2023,Kalimantan Utara,Beras Premium,15170.0
14/03/2023,Kalimantan Utara,Beras Medium,13650.0
14/03/2023,Kalimantan Utara,Bawang Merah,42170.0
14/03/2023,Kalimantan Utara,Bawang Putih Bonggol,34990.0
14/03/2023,Kalimantan Utara,Cabai Rawit Merah,107620.0
14/03/2023,Sulawesi Utara,Beras Premium,13590.0
14/03/2023,Sulawesi Utara,Beras Medium,12470.0
14/03/2023,Sulawesi Utara,Bawang Merah,40930.0
14/03/2023,Sulawesi Utara,Bawang Putih Bonggol,36990.0
14/03/2023,Sulawesi Utara,Cabai Rawit Merah,78810.0
14/03/2023,Sulawesi Tengah,Beras Premium,13460.0
14/03/2023,Sulawesi Tengah,Beras Medium,12170.0
14/03/2023,Sulawesi Tengah,Bawang Merah,37660.0
14/03/2023,Sulawesi Tengah,Bawang Putih Bonggol,37780.0
14/03/2023,Sulawesi Tengah,Cabai Rawit Merah,66490.0
14/03/2023,Sulawesi Selatan,Beras Premium,12370.0
14/03/2023,Sulawesi Selatan,Beras Medium,11000.0
14/03/2023,Sulawesi Selatan,Bawang Merah,33250.0
14/03/2023,Sulawesi Selatan,Bawang Putih Bonggol,30790.0
14/03/2023,Sulawesi Selatan,Cabai Rawit Merah,48220.0
14/03/2023,Sulawesi Tenggara,Beras Premium,13240.0
14/03/2023,Sulawesi Tenggara,Beras Medium,12020.0
14/03/2023,Sulawesi Tenggara,Bawang Merah,39070.0
14/03/2023,Sulawesi Tenggara,Bawang Putih Bonggol,37060.0
14/03/2023,Sulawesi Tenggara,Cabai Rawit Merah,55280.0
14/03/2023,Gorontalo,Beras Premium,13000.0
14/03/2023,Gorontalo,Beras Medium,12050.0
14/03/2023,Gorontalo,Bawang Merah,37470.0
14/03/2023,Gorontalo,Bawang Putih Bonggol,37250.0
14/03/2023,Gorontalo,Cabai Rawit Merah,75530.0
14/03/2023,Sulawesi Barat,Beras Premium,12260.0
14/03/2023,Sulawesi Barat,Beras Medium,10810.0
14/03/2023,Sulawesi Barat,Bawang Merah,32390.0
14/03/2023,Sulawesi Barat,Bawang Putih Bonggol,31250.0
14/03/2023,Sulawesi Barat,Cabai Rawit Merah,54390.0
14/03/2023,Maluku,Beras Premium,15210.0
14/03/2023,Maluku,Beras Medium,13240.0
14/03/2023,Maluku,Bawang Merah,44530.0
14/03/2023,Maluku,Bawang Putih Bonggol,37980.0
14/03/2023,Maluku,Cabai Rawit Merah,70120.0
14/03/2023,Maluku Utara,Beras Premium,15030.0
14/03/2023,Maluku Utara,Beras Medium,13380.0
14/03/2023,Maluku Utara,Bawang Merah,48770.0
14/03/2023,Maluku Utara,Bawang Putih Bonggol,40750.0
14/03/2023,Maluku Utara,Cabai Rawit Merah,58040.0
14/03/2023,Papua Barat,Beras Premium,15120.0
14/03/2023,Papua Barat,Beras Medium,13100.0
14/03/2023,Papua Barat,Bawang Merah,53680.0
14/03/2023,Papua Barat,Bawang Putih Bonggol,44230.0
14/03/2023,Papua Barat,Cabai Rawit Merah,71340.0
14/03/2023,Papua,Beras Premium,15040.0
14/03/2023,Papua,Beras Medium,12860.0
14/03/2023,Papua,Bawang Merah,56060.0
14/03/2023,Papua,Bawang Putih Bonggol,38730.0
14/03/2023,Papua,Cabai Rawit Merah,66970.0
14/03/2023,Papua Barat Daya,Beras Premium,
14/03/2023,Papua Barat Daya,Beras Medium,
14/03/2023,Papua Barat Daya,Bawang Merah,
14/03/2023,Papua Barat Daya,Bawang Putih Bonggol,
14/03/2023,Papua Barat Daya,Cabai Rawit Merah,
14/03/2023,Papua Pegunungan,Beras Premium,
14/03/2023,Papua Pegunungan,Beras Medium,
14/03/2023,Papua Pegunungan,Bawang Merah,
14/03/2023,Papua Pegunungan,Bawang Putih Bonggol,
14/03/2023,Papua Pegunungan,Cabai Rawit Merah,
14/03/2023,Papua Tengah,Beras Premium,
14/03/2023,Papua Tengah,Beras Medium,
14/03/2023,Papua Tengah,Bawang Merah,
14/03/2023,Papua Tengah,Bawang Putih Bonggol,
14/03/2023,Papua Tengah,Cabai Rawit Merah,
14/03/2023,Papua Selatan,Beras Premium,
14/03/2023,Papua Selatan,Beras Medium,
14/03/2023,Papua Selatan,Bawang Merah,
14/03/2023,Papua Selatan,Bawang Putih Bonggol,
14/03/2023,Papua Selatan,Cabai Rawit Merah,
15/03/2023,Aceh,Beras Premium,12620.0
15/03/2023,Aceh,Beras Medium,11470.0
15/03/2023,Aceh,Bawang Merah,34260.0
15/03/2023,Aceh,Bawang Putih Bonggol,29900.0
15/03/2023,Aceh,Cabai Rawit Merah,
15/03/2023,Sumatera Utara,Beras Premium,13400.0
15/03/2023,Sumatera Utara,Beras Medium,12290.0
15/03/2023,Sumatera Utara,Bawang Merah,31390.0
15/03/2023,Sumatera Utara,Bawang Putih Bonggol,28210.0
15/03/2023,Sumatera Utara,Cabai Rawit Merah,48370.0
15/03/2023,Sumatera Barat,Beras Premium,15820.0
15/03/2023,Sumatera Barat,Beras Medium,13070.0
15/03/2023,Sumatera Barat,Bawang Merah,29070.0
15/03/2023,Sumatera Barat,Bawang Putih Bonggol,28000.0
15/03/2023,Sumatera Barat,Cabai Rawit Merah,30000.0
15/03/2023,Riau,Beras Premium,13680.0
15/03/2023,Riau,Beras Medium,11090.0
15/03/2023,Riau,Bawang Merah,32480.0
15/03/2023,Riau,Bawang Putih Bonggol,30250.0
15/03/2023,Riau,Cabai Rawit Merah,57010.0
15/03/2023,Jambi,Beras Premium,13240.0
15/03/2023,Jambi,Beras Medium,10680.0
15/03/2023,Jambi,Bawang Merah,28620.0
15/03/2023,Jambi,Bawang Putih Bonggol,29700.0
15/03/2023,Jambi,Cabai Rawit Merah,56200.0
15/03/2023,Sumatera Selatan,Beras Premium,12520.0
15/03/2023,Sumatera Selatan,Beras Medium,11160.0
15/03/2023,Sumatera Selatan,Bawang Merah,35100.0
15/03/2023,Sumatera Selatan,Bawang Putih Bonggol,32620.0
15/03/2023,Sumatera Selatan,Cabai Rawit Merah,61050.0
15/03/2023,Bengkulu,Beras Premium,12890.0
15/03/2023,Bengkulu,Beras Medium,11330.0
15/03/2023,Bengkulu,Bawang Merah,35510.0
15/03/2023,Bengkulu,Bawang Putih Bonggol,30080.0
15/03/2023,Bengkulu,Cabai Rawit Merah,53960.0
15/03/2023,Lampung,Beras Premium,12350.0
15/03/2023,Lampung,Beras Medium,11100.0
15/03/2023,Lampung,Bawang Merah,33210.0
15/03/2023,Lampung,Bawang Putih Bonggol,28090.0
15/03/2023,Lampung,Cabai Rawit Merah,48690.0
15/03/2023,Kepulauan Bangka Belitung,Beras Premium,13550.0
15/03/2023,Kepulauan Bangka Belitung,Beras Medium,11630.0
15/03/2023,Kepulauan Bangka Belitung,Bawang Merah,42870.0
15/03/2023,Kepulauan Bangka Belitung,Bawang Putih Bonggol,31650.0
15/03/2023,Kepulauan Bangka Belitung,Cabai Rawit Merah,75500.0
15/03/2023,Kepulauan Riau,Beras Premium,14540.0
15/03/2023,Kepulauan Riau,Beras Medium,12260.0
15/03/2023,Kepulauan Riau,Bawang Merah,35820.0
15/03/2023,Kepulauan Riau,Bawang Putih Bonggol,25300.0
15/03/2023,Kepulauan Riau,Cabai Rawit Merah,74490.0
15/03/2023,DKI Jakarta,Beras Premium,12730.0
15/03/2023,DKI Jakarta,Beras Medium,10730.0
15/03/2023,DKI Jakarta,Bawang Merah,42430.0
15/03/2023,DKI Jakarta,Bawang Putih Bonggol,33330.0
15/03/2023,DKI Jakarta,Cabai Rawit Merah,77580.0
15/03/2023,Jawa Barat,Beras Premium,12640.0
15/03/2023,Jawa Barat,Beras Medium,11200.0
15/03/2023,Jawa Barat,Bawang Merah,34270.0
15/03/2023,Jawa Barat,Bawang Putih Bonggol,30900.0
15/03/2023,Jawa Barat,Cabai Rawit Merah,71840.0
15/03/2023,Jawa Tengah,Beras Premium,12680.0
15/03/2023,Jawa Tengah,Beras Medium,11310.0
15/03/2023,Jawa Tengah,Bawang Merah,32710.0
15/03/2023,Jawa Tengah,Bawang Putih Bonggol,28640.0
15/03/2023,Jawa Tengah,Cabai Rawit Merah,68110.0
15/03/2023,D.I Yogyakarta,Beras Premium,12610.0
15/03/2023,D.I Yogyakarta,Beras Medium,11550.0
15/03/2023,D.I Yogyakarta,Bawang Merah,32640.0
15/03/2023,D.I Yogyakarta,Bawang Putih Bonggol,26930.0
15/03/2023,D.I Yogyakarta,Cabai Rawit Merah,65890.0
15/03/2023,Jawa Timur,Beras Premium,12620.0
15/03/2023,Jawa Timur,Beras Medium,10880.0
15/03/2023,Jawa Timur,Bawang Merah,33150.0
15/03/2023,Jawa Timur,Bawang Putih Bonggol,29720.0
15/03/2023,Jawa Timur,Cabai Rawit Merah,74960.0
15/03/2023,Banten,Beras Premium,12220.0
15/03/2023,Banten,Beras Medium,11160.0
15/03/2023,Banten,Bawang Merah,34140.0
15/03/2023,Banten,Bawang Putih Bonggol,31350.0
15/03/2023,Banten,Cabai Rawit Merah,75520.0
15/03/2023,Bali,Beras Premium,13080.0
15/03/2023,Bali,Beras Medium,11770.0
15/03/2023,Bali,Bawang Merah,30380.0
15/03/2023,Bali,Bawang Putih Bonggol,29920.0
15/03/2023,Bali,Cabai Rawit Merah,72250.0
15/03/2023,Nusa Tenggara Barat,Beras Premium,12010.0
15/03/2023,Nusa Tenggara Barat,Beras Medium,10310.0
15/03/2023,Nusa Tenggara Barat,Bawang Merah,31790.0
15/03/2023,Nusa Tenggara Barat,Bawang Putih Bonggol,30930.0
15/03/2023,Nusa Tenggara Barat,Cabai Rawit Merah,80220.0
15/03/2023,Nusa Tenggara Timur,Beras Premium,14790.0
15/03/2023,Nusa Tenggara Timur,Beras Medium,13250.0
15/03/2023,Nusa Tenggara Timur,Bawang Merah,37200.0
15/03/2023,Nusa Tenggara Timur,Bawang Putih Bonggol,35270.0
15/03/2023,Nusa Tenggara Timur,Cabai Rawit Merah,74690.0
15/03/2023,Kalimantan Barat,Beras Premium,14620.0
15/03/2023,Kalimantan Barat,Beras Medium,12620.0
15/03/2023,Kalimantan Barat,Bawang Merah,37980.0
15/03/2023,Kalimantan Barat,Bawang Putih Bonggol,29180.0
15/03/2023,Kalimantan Barat,Cabai Rawit Merah,88090.0
15/03/2023,Kalimantan Tengah,Beras Premium,15720.0
15/03/2023,Kalimantan Tengah,Beras Medium,12690.0
15/03/2023,Kalimantan Tengah,Bawang Merah,38970.0
15/03/2023,Kalimantan Tengah,Bawang Putih Bonggol,33810.0
15/03/2023,Kalimantan Tengah,Cabai Rawit Merah,81550.0
15/03/2023,Kalimantan Selatan,Beras Premium,17300.0
15/03/2023,Kalimantan Selatan,Beras Medium,12910.0
15/03/2023,Kalimantan Selatan,Bawang Merah,33340.0
15/03/2023,Kalimantan Selatan,Bawang Putih Bonggol,31480.0
15/03/2023,Kalimantan Selatan,Cabai Rawit Merah,69310.0
15/03/2023,Kalimantan Timur,Beras Premium,15220.0
15/03/2023,Kalimantan Timur,Beras Medium,13440.0
15/03/2023,Kalimantan Timur,Bawang Merah,37960.0
15/03/2023,Kalimantan Timur,Bawang Putih Bonggol,33650.0
15/03/2023,Kalimantan Timur,Cabai Rawit Merah,79590.0
15/03/2023,Kalimantan Utara,Beras Premium,15170.0
15/03/2023,Kalimantan Utara,Beras Medium,13650.0
15/03/2023,Kalimantan Utara,Bawang Merah,41560.0
15/03/2023,Kalimantan Utara,Bawang Putih Bonggol,34360.0
15/03/2023,Kalimantan Utara,Cabai Rawit Merah,107620.0
15/03/2023,Sulawesi Utara,Beras Premium,13550.0
15/03/2023,Sulawesi Utara,Beras Medium,12470.0
15/03/2023,Sulawesi Utara,Bawang Merah,40350.0
15/03/2023,Sulawesi Utara,Bawang Putih Bonggol,38310.0
15/03/2023,Sulawesi Utara,Cabai Rawit Merah,79320.0
15/03/2023,Sulawesi Tengah,Beras Premium,13460.0
15/03/2023,Sulawesi Tengah,Beras Medium,12140.0
15/03/2023,Sulawesi Tengah,Bawang Merah,38110.0
15/03/2023,Sulawesi Tengah,Bawang Putih Bonggol,37520.0
15/03/2023,Sulawesi Tengah,Cabai Rawit Merah,65850.0
15/03/2023,Sulawesi Selatan,Beras Premium,12450.0
15/03/2023,Sulawesi Selatan,Beras Medium,11090.0
15/03/2023,Sulawesi Selatan,Bawang Merah,33540.0
15/03/2023,Sulawesi Selatan,Bawang Putih Bonggol,30880.0
15/03/2023,Sulawesi Selatan,Cabai Rawit Merah,48960.0
15/03/2023,Sulawesi Tenggara,Beras Premium,13200.0
15/03/2023,Sulawesi Tenggara,Beras Medium,12030.0
15/03/2023,Sulawesi Tenggara,Bawang Merah,39910.0
15/03/2023,Sulawesi Tenggara,Bawang Putih Bonggol,37190.0
15/03/2023,Sulawesi Tenggara,Cabai Rawit Merah,57420.0
15/03/2023,Gorontalo,Beras Premium,13000.0
15/03/2023,Gorontalo,Beras Medium,12050.0
15/03/2023,Gorontalo,Bawang Merah,38260.0
15/03/2023,Gorontalo,Bawang Putih Bonggol,37540.0
15/03/2023,Gorontalo,Cabai Rawit Merah,76540.0
15/03/2023,Sulawesi Barat,Beras Premium,12260.0
15/03/2023,Sulawesi Barat,Beras Medium,10820.0
15/03/2023,Sulawesi Barat,Bawang Merah,32030.0
15/03/2023,Sulawesi Barat,Bawang Putih Bonggol,31250.0
15/03/2023,Sulawesi Barat,Cabai Rawit Merah,55840.0
15/03/2023,Maluku,Beras Premium,15140.0
15/03/2023,Maluku,Beras Medium,13240.0
15/03/2023,Maluku,Bawang Merah,44910.0
15/03/2023,Maluku,Bawang Putih Bonggol,37390.0
15/03/2023,Maluku,Cabai Rawit Merah,68610.0
15/03/2023,Maluku Utara,Beras Premium,15030.0
15/03/2023,Maluku Utara,Beras Medium,13380.0
15/03/2023,Maluku Utara,Bawang Merah,51910.0
15/03/2023,Maluku Utara,Bawang Putih Bonggol,41830.0
15/03/2023,Maluku Utara,Cabai Rawit Merah,56540.0
15/03/2023,Papua Barat,Beras Premium,15140.0
15/03/2023,Papua Barat,Beras Medium,13260.0
15/03/2023,Papua Barat,Bawang Merah,54660.0
15/03/2023,Papua Barat,Bawang Putih Bonggol,44140.0
15/03/2023,Papua Barat,Cabai Rawit Merah,75860.0
15/03/2023,Papua,Beras Premium,15260.0
15/03/2023,Papua,Beras Medium,12970.0
15/03/2023,Papua,Bawang Merah,57620.0
15/03/2023,Papua,Bawang Putih Bonggol,38520.0
15/03/2023,Papua,Cabai Rawit Merah,68220.0
15/03/2023,Papua Barat Daya,Beras Premium,
15/03/2023,Papua Barat Daya,Beras Medium,
15/03/2023,Papua Barat Daya,Bawang Merah,
15/03/2023,Papua Barat Daya,Bawang Putih Bonggol,
15/03/2023,Papua Barat Daya,Cabai Rawit Merah,
15/03/2023,Papua Pegunungan,Beras Premium,
15/03/2023,Papua Pegunungan,Beras Medium,
15/03/2023,Papua Pegunungan,Bawang Merah,
15/03/2023,Papua Pegunungan,Bawang Putih Bonggol,
15/03/2023,Papua Pegunungan,Cabai Rawit Merah,
15/03/2023,Papua Tengah,Beras Premium,
15/03/2023,Papua Tengah,Beras Medium,
15/03/2023,Papua Tengah,Bawang Merah,
15/03/2023,Papua Tengah,Bawang Putih Bonggol,
15/03/2023,Papua Tengah,Cabai Rawit Merah,
15/03/2023,Papua Selatan,Beras Premium,
15/03/2023,Papua Selatan,Beras Medium,
15/03/2023,Papua Selatan,Bawang Merah,
15/03/2023,Papua Selatan,Bawang Putih Bonggol,
15/03/2023,Papua Selatan,Cabai Rawit Merah,
16/03/2023,Aceh,Beras Premium,12560.0
16/03/2023,Aceh,Beras Medium,11460.0
16/03/2023,Aceh,Bawang Merah,34560.0
16/03/2023,Aceh,Bawang Putih Bonggol,29770.0
16/03/2023,Aceh,Cabai Rawit Merah,
16/03/2023,Sumatera Utara,Beras Premium,13480.0
16/03/2023,Sumatera Utara,Beras Medium,12400.0
16/03/2023,Sumatera Utara,Bawang Merah,31190.0
16/03/2023,Sumatera Utara,Bawang Putih Bonggol,28480.0
16/03/2023,Sumatera Utara,Cabai Rawit Merah,51960.0
16/03/2023,Sumatera Barat,Beras Premium,15800.0
16/03/2023,Sumatera Barat,Beras Medium,13050.0
16/03/2023,Sumatera Barat,Bawang Merah,28820.0
16/03/2023,Sumatera Barat,Bawang Putih Bonggol,28480.0
16/03/2023,Sumatera Barat,Cabai Rawit Merah,32400.0
16/03/2023,Riau,Beras Premium,13620.0
16/03/2023,Riau,Beras Medium,11060.0
16/03/2023,Riau,Bawang Merah,32660.0
16/03/2023,Riau,Bawang Putih Bonggol,29540.0
16/03/2023,Riau,Cabai Rawit Merah,63090.0
16/03/2023,Jambi,Beras Premium,13240.0
16/03/2023,Jambi,Beras Medium,10680.0
16/03/2023,Jambi,Bawang Merah,28530.0
16/03/2023,Jambi,Bawang Putih Bonggol,29400.0
16/03/2023,Jambi,Cabai Rawit Merah,56020.0
16/03/2023,Sumatera Selatan,Beras Premium,12550.0
16/03/2023,Sumatera Selatan,Beras Medium,11190.0
16/03/2023,Sumatera Selatan,Bawang Merah,35380.0
16/03/2023,Sumatera Selatan,Bawang Putih Bonggol,31790.0
16/03/2023,Sumatera Selatan,Cabai Rawit Merah,61050.0
16/03/2023,Bengkulu,Beras Premium,12890.0
16/03/2023,Bengkulu,Beras Medium,11230.0
16/03/2023,Bengkulu,Bawang Merah,35510.0
16/03/2023,Bengkulu,Bawang Putih Bonggol,30260.0
16/03/2023,Bengkulu,Cabai Rawit Merah,53960.0
16/03/2023,Lampung,Beras Premium,12350.0
16/03/2023,Lampung,Beras Medium,11100.0
16/03/2023,Lampung,Bawang Merah,32970.0
16/03/2023,Lampung,Bawang Putih Bonggol,27700.0
16/03/2023,Lampung,Cabai Rawit Merah,47620.0
16/03/2023,Kepulauan Bangka Belitung,Beras Premium,13620.0
16/03/2023,Kepulauan Bangka Belitung,Beras Medium,11770.0
16/03/2023,Kepulauan Bangka Belitung,Bawang Merah,42280.0
16/03/2023,Kepulauan Bangka Belitung,Bawang Putih Bonggol,31520.0
16/03/2023,Kepulauan Bangka Belitung,Cabai Rawit Merah,73290.0
16/03/2023,Kepulauan Riau,Beras Premium,14540.0
16/03/2023,Kepulauan Riau,Beras Medium,12260.0
16/03/2023,Kepulauan Riau,Bawang Merah,35820.0
16/03/2023,Kepulauan Riau,Bawang Putih Bonggol,25300.0
16/03/2023,Kepulauan Riau,Cabai Rawit Merah,74490.0
16/03/2023,DKI Jakarta,Beras Premium,12730.0
16/03/2023,DKI Jakarta,Beras Medium,10730.0
16/03/2023,DKI Jakarta,Bawang Merah,42430.0
16/03/2023,DKI Jakarta,Bawang Putih Bonggol,33660.0
16/03/2023,DKI Jakarta,Cabai Rawit Merah,71990.0
16/03/2023,Jawa Barat,Beras Premium,12520.0
16/03/2023,Jawa Barat,Beras Medium,11130.0
16/03/2023,Jawa Barat,Bawang Merah,33610.0
16/03/2023,Jawa Barat,Bawang Putih Bonggol,30370.0
16/03/2023,Jawa Barat,Cabai Rawit Merah,71170.0
16/03/2023,Jawa Tengah,Beras Premium,12720.0
16/03/2023,Jawa Tengah,Beras Medium,11280.0
16/03/2023,Jawa Tengah,Bawang Merah,32880.0
16/03/2023,Jawa Tengah,Bawang Putih Bonggol,28380.0
16/03/2023,Jawa Tengah,Cabai Rawit Merah,68330.0
16/03/2023,D.I Yogyakarta,Beras Premium,12610.0
16/03/2023,D.I Yogyakarta,Beras Medium,11500.0
16/03/2023,D.I Yogyakarta,Bawang Merah,32450.0
16/03/2023,D.I Yogyakarta,Bawang Putih Bonggol,26930.0
16/03/2023,D.I Yogyakarta,Cabai Rawit Merah,66970.0
16/03/2023,Jawa Timur,Beras Premium,12610.0
16/03/2023,Jawa Timur,Beras Medium,10980.0
16/03/2023,Jawa Timur,Bawang Merah,33120.0
16/03/2023,Jawa Timur,Bawang Putih Bonggol,29860.0
16/03/2023,Jawa Timur,Cabai Rawit Merah,77520.0
16/03/2023,Banten,Beras Premium,12220.0
16/03/2023,Banten,Beras Medium,11160.0
16/03/2023,Banten,Bawang Merah,35390.0
16/03/2023,Banten,Bawang Putih Bonggol,30810.0
16/03/2023,Banten,Cabai Rawit Merah,77420.0
16/03/2023,Bali,Beras Premium,13020.0
16/03/2023,Bali,Beras Medium,11880.0
16/03/2023,Bali,Bawang Merah,29750.0
16/03/2023,Bali,Bawang Putih Bonggol,30280.0
16/03/2023,Bali,Cabai Rawit Merah,74600.0
16/03/2023,Nusa Tenggara Barat,Beras Premium,12010.0
16/03/2023,Nusa Tenggara Barat,Beras Medium,10310.0
16/03/2023,Nusa Tenggara Barat,Bawang Merah,31010.0
16/03/2023,Nusa Tenggara Barat,Bawang Putih Bonggol,30040.0
16/03/2023,Nusa Tenggara Barat,Cabai Rawit Merah,82980.0
16/03/2023,Nusa Tenggara Timur,Beras Premium,14770.0
16/03/2023,Nusa Tenggara Timur,Beras Medium,13230.0
16/03/2023,Nusa Tenggara Timur,Bawang Merah,36830.0
16/03/2023,Nusa Tenggara Timur,Bawang Putih Bonggol,35160.0
16/03/2023,Nusa Tenggara Timur,Cabai Rawit Merah,73290.0
16/03/2023,Kalimantan Barat,Beras Premium,14670.0
16/03/2023,Kalimantan Barat,Beras Medium,12560.0
16/03/2023,Kalimantan Barat,Bawang Merah,37210.0
16/03/2023,Kalimantan Barat,Bawang Putih Bonggol,28870.0
16/03/2023,Kalimantan Barat,Cabai Rawit Merah,85870.0
16/03/2023,Kalimantan Tengah,Beras Premium,15720.0
16/03/2023,Kalimantan Tengah,Beras Medium,12690.0
16/03/2023,Kalimantan Tengah,Bawang Merah,38850.0
16/03/2023,Kalimantan Tengah,Bawang Putih Bonggol,33810.0
16/03/2023,Kalimantan Tengah,Cabai Rawit Merah,81150.0
16/03/2023,Kalimantan Selatan,Beras Premium,17250.0
16/03/2023,Kalimantan Selatan,Beras Medium,12900.0
16/03/2023,Kalimantan Selatan,Bawang Merah,33060.0
16/03/2023,Kalimantan Selatan,Bawang Putih Bonggol,31340.0
16/03/2023,Kalimantan Selatan,Cabai Rawit Merah,68880.0
16/03/2023,Kalimantan Timur,Beras Premium,15060.0
16/03/2023,Kalimantan Timur,Beras Medium,13140.0
16/03/2023,Kalimantan Timur,Bawang Merah,35970.0
16/03/2023,Kalimantan Timur,Bawang Putih Bonggol,32990.0
16/03/2023,Kalimantan Timur,Cabai Rawit Merah,73090.0
16/03/2023,Kalimantan Utara,Beras Premium,15170.0
16/03/2023,Kalimantan Utara,Beras Medium,13650.0
16/03/2023,Kalimantan Utara,Bawang Merah,41380.0
16/03/2023,Kalimantan Utara,Bawang Putih Bonggol,34580.0
16/03/2023,Kalimantan Utara,Cabai Rawit Merah,105590.0
16/03/2023,Sulawesi Utara,Beras Premium,13590.0
16/03/2023,Sulawesi Utara,Beras Medium,12520.0
16/03/2023,Sulawesi Utara,Bawang Merah,39430.0
16/03/2023,Sulawesi Utara,Bawang Putih Bonggol,38090.0
16/03/2023,Sulawesi Utara,Cabai Rawit Merah,81360.0
16/03/2023,Sulawesi Tengah,Beras Premium,13460.0
16/03/2023,Sulawesi Tengah,Beras Medium,12100.0
16/03/2023,Sulawesi Tengah,Bawang Merah,38680.0
16/03/2023,Sulawesi Tengah,Bawang Putih Bonggol,37850.0
16/03/2023,Sulawesi Tengah,Cabai Rawit Merah,69910.0
16/03/2023,Sulawesi Selatan,Beras Premium,12450.0
16/03/2023,Sulawesi Selatan,Beras Medium,11090.0
16/03/2023,Sulawesi Selatan,Bawang Merah,33270.0
16/03/2023,Sulawesi Selatan,Bawang Putih Bonggol,30610.0
16/03/2023,Sulawesi Selatan,Cabai Rawit Merah,51040.0
16/03/2023,Sulawesi Tenggara,Beras Premium,13270.0
16/03/2023,Sulawesi Tenggara,Beras Medium,12170.0
16/03/2023,Sulawesi Tenggara,Bawang Merah,39240.0
16/03/2023,Sulawesi Tenggara,Bawang Putih Bonggol,36670.0
16/03/2023,Sulawesi Tenggara,Cabai Rawit Merah,55110.0
16/03/2023,Gorontalo,Beras Premium,13080.0
16/03/2023,Gorontalo,Beras Medium,12080.0
16/03/2023,Gorontalo,Bawang Merah,36740.0
16/03/2023,Gorontalo,Bawang Putih Bonggol,39800.0
16/03/2023,Gorontalo,Cabai Rawit Merah,84490.0
16/03/2023,Sulawesi Barat,Beras Premium,12380.0
16/03/2023,Sulawesi Barat,Beras Medium,11000.0
16/03/2023,Sulawesi Barat,Bawang Merah,32870.0
16/03/2023,Sulawesi Barat,Bawang Putih Bonggol,31430.0
16/03/2023,Sulawesi Barat,Cabai Rawit Merah,56490.0
16/03/2023,Maluku,Beras Premium,15160.0
16/03/2023,Maluku,Beras Medium,13170.0
16/03/2023,Maluku,Bawang Merah,42920.0
16/03/2023,Maluku,Bawang Putih Bonggol,37200.0
16/03/2023,Maluku,Cabai Rawit Merah,63450.0
16/03/2023,Maluku Utara,Beras Premium,15470.0
16/03/2023,Maluku Utara,Beras Medium,13480.0
16/03/2023,Maluku Utara,Bawang Merah,52740.0
16/03/2023,Maluku Utara,Bawang Putih Bonggol,43030.0
16/03/2023,Maluku Utara,Cabai Rawit Merah,62880.0
16/03/2023,Papua Barat,Beras Premium,15140.0
16/03/2023,Papua Barat,Beras Medium,13110.0
16/03/2023,Papua Barat,Bawang Merah,56110.0
16/03/2023,Papua Barat,Bawang Putih Bonggol,44870.0
16/03/2023,Papua Barat,Cabai Rawit Merah,68970.0
16/03/2023,Papua,Beras Premium,15260.0
16/03/2023,Papua,Beras Medium,12970.0
16/03/2023,Papua,Bawang Merah,58400.0
16/03/2023,Papua,Bawang Putih Bonggol,38520.0
16/03/2023,Papua,Cabai Rawit Merah,67870.0
16/03/2023,Papua Barat Daya,Beras Premium,
16/03/2023,Papua Barat Daya,Beras Medium,
16/03/2023,Papua Barat Daya,Bawang Merah,
16/03/2023,Papua Barat Daya,Bawang Putih Bonggol,
16/03/2023,Papua Barat Daya,Cabai Rawit Merah,
16/03/2023,Papua Pegunungan,Beras Premium,
16/03/2023,Papua Pegunungan,Beras Medium,
16/03/2023,Papua Pegunungan,Bawang Merah,
16/03/2023,Papua Pegunungan,Bawang Putih Bonggol,
16/03/2023,Papua Pegunungan,Cabai Rawit Merah,
16/03/2023,Papua Tengah,Beras Premium,
16/03/2023,Papua Tengah,Beras Medium,
